group_type,group_value,records_total,source_visible_count,source_visible_rate,publication_grade_count,publication_grade_rate,weighted_publication_score,weighted_publication_rate,open_image_count,open_image_rate,rights_labeled_count,rights_labeled_rate,unclear_image_state_count,unclear_image_state_rate,anchor_image_available_count,anchor_image_available_rate,duplicate_image_url_records,duplicate_image_url_rate,img00_count,img01_count,img02_count,img03_count,img04_count
source_name,Bophana Audiovisual Resource Center,1,0,0.00,0,0.00,0.00,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1
source_name,Center for Contemporary Graphic Art,1,0,0.00,0,0.00,0.00,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1
source_name,Cultural Center of the Philippines,1,1,100.00,1,100.00,0.55,55.00,0,0.00,1,100.00,0,0.00,1,100.00,0,0.00,0,0,1,0,0
source_name,DDP Seoul,1,0,0.00,0,0.00,0.00,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1
source_name,Design Center Philippines,1,0,0.00,0,0.00,0.00,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1
source_name,Design in India / India Design Council references,1,0,0.00,0,0.00,0.00,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1
source_name,DesignDB / KIDP,1,1,100.00,1,100.00,0.55,55.00,0,0.00,1,100.00,0,0.00,1,100.00,0,0.00,0,0,1,0,0
source_name,DesignSingapore Council,1,0,0.00,0,0.00,0.00,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1
source_name,Digital Library of Lao Manuscripts,1,0,0.00,0,0.00,0.00,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1
source_name,Dogma Collection,1,1,100.00,1,100.00,0.55,55.00,0,0.00,1,100.00,0,0.00,1,100.00,0,0.00,0,0,1,0,0
source_name,East Asian Graphics Archive,1,1,100.00,1,100.00,0.55,55.00,0,0.00,1,100.00,0,0.00,1,100.00,0,0.00,0,0,1,0,0
source_name,Fine Arts Department Thailand,1,0,0.00,0,0.00,0.00,0.00,0,0.00,1,100.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1
source_name,Fundacion IDA,1,1,100.00,1,100.00,0.55,55.00,0,0.00,1,100.00,0,0.00,1,100.00,0,0.00,0,0,1,0,0
