source_id,source_name,source_place_text,old_macro_region,old_country_or_region,new_macro_region,new_country_or_region,action,note
NMSS2026R0966,Museo de UTE,Latin America / Caribbean / Uruguay,Latin America,Uruguay,Latin America,Uruguay,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0993,Museo de la cultura de Carabobo,Latin America / Caribbean / Venezuela,Latin America,Venezuela,Latin America,Venezuela,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0347,Museo del Galeón,Southeast Asia / Philippines,Southeast Asia,Philippines,Southeast Asia,Philippines,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0973,Museo ferroviario de Piriápolis,Latin America / Caribbean / Uruguay,Latin America,Uruguay,Latin America,Uruguay,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0046,Museu Nacional de Antropologia,Africa / Angola,Africa,Angola,Africa,Angola,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0412,Museum and Library of the House of the Agreement of San Nicolás,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0108,Museum of Apollonia,Eastern Europe / Caucasus / Albania,Eastern Europe,Albania,Eastern Europe,Albania,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0413,Museum of Architecture and Design,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0462,Museum of Art and Culture of Loei (MALOEI),Southeast Asia / Thailand,Southeast Asia,Thailand,Southeast Asia,Thailand,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0114,Museum of Fine Arts Named after the Nevzorov Family,Central Asia / Kazakhstan,Central Asia,Kazakhstan,Central Asia,Kazakhstan,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0140,Museum of History of Medicine in Armenia,Eastern Europe / Caucasus / Armenia,Eastern Europe,Armenia,Eastern Europe,Armenia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0214,Museum of Illusions Kuala Lumpur,Southeast Asia / Malaysia,Southeast Asia,Malaysia,Southeast Asia,Malaysia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0426,Museum of Latin American Art of Buenos Aires,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0175,Museum of Modern Art,MENA / Kuwait,MENA,Kuwait,MENA,Kuwait,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0429,Museum of Paleontology Egidio Feruglio,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0430,Museum of Religious Art Bishop Fray José Antonio de San Alberto,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0153,Museum of Russian Art (collection of prof. A. Abrahamian),Eastern Europe / Caucasus / Armenia,Eastern Europe,Armenia,Eastern Europe,Armenia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0757,Museum of Skopje Old Bazaar,Eastern Europe / Caucasus / North Macedonia,Eastern Europe,North Macedonia,Eastern Europe,North Macedonia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0432,Museum of the City of Rosario Wladimir Mikielievich,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0165,"Museum of the Fidahin movement ""Zoravar Andranik""",Eastern Europe / Caucasus / Armenia,Eastern Europe,Armenia,Eastern Europe,Armenia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0473,Museum of the Future,MENA / United Arab Emirates,MENA,United Arab Emirates,MENA,United Arab Emirates,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0759,Museum of the Macedonian Struggle,Eastern Europe / Caucasus / North Macedonia,Eastern Europe,North Macedonia,Eastern Europe,North Macedonia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0409,Museum «Rescued Art Values»,Eastern Europe / Caucasus / Belarus,Eastern Europe,Belarus,Eastern Europe,Belarus,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0453,Muso Kunda Museum of Women,Africa / Mali,Africa,Mali,Africa,Mali,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0483,Musée de la photographie de Madagascar,Africa / Madagascar,Africa,Madagascar,Africa,Madagascar,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0414,Muzei Lidskogo brovara,Eastern Europe / Caucasus / Belarus,Eastern Europe,Belarus,Eastern Europe,Belarus,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0615,NUST Library,Africa / Zimbabwe,Africa,Zimbabwe,Africa,Zimbabwe,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0132,National Archaeological Museum of Korçë,Eastern Europe / Caucasus / Albania,Eastern Europe,Albania,Eastern Europe,Albania,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0138,National Archives of Kazakhstan,Central Asia / Kazakhstan,Central Asia,Kazakhstan,Central Asia,Kazakhstan,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0975,National Archives of Uruguay,Latin America / Caribbean / Uruguay,Latin America,Uruguay,Latin America,Uruguay,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0052,National Library,Oceania / Indigenous / Vanuatu,Oceania,Vanuatu,Oceania,Vanuatu,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0491,National Library José Martí,Latin America / Caribbean / Cuba,Latin America,Cuba,Latin America,Cuba,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0441,National Library Service of Malawi,Africa / Malawi,Africa,Malawi,Africa,Malawi,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0028,National Library of Algeria,Africa / Algeria,Africa,Algeria,Africa,Algeria,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0229,National Library of Cape Verde,Africa / Cape Verde,Africa,Cape Verde,Africa,Cape Verde,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0198,National Library of Jordan,MENA / Jordan,MENA,Jordan,MENA,Jordan,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0482,National Library of Mauritius,Africa / Mauritius,Africa,Mauritius,Africa,Mauritius,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0181,National Library of the Kyrgyz Republic,Central Asia / Kyrgyzstan,Central Asia,Kyrgyzstan,Central Asia,Kyrgyzstan,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0442,National Memorial,Southeast Asia / Thailand,Southeast Asia,Thailand,Southeast Asia,Thailand,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0426,National Museum in Damascus,MENA / Syria,MENA,Syria,MENA,Syria,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0496,National Museum of Costa Rica,Latin America / Caribbean / Costa Rica,Latin America,Costa Rica,Latin America,Costa Rica,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0294,National Museum of Ethnography and Folklore,Latin America / Caribbean / Bolivia,Latin America,Bolivia,Latin America,Bolivia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0272,National Museum of Mongolia,Central Asia / Mongolia,Central Asia,Mongolia,Central Asia,Mongolia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0331,National Museum of Qatar,MENA / Qatar,MENA,Qatar,MENA,Qatar,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0977,National Museum of Visual Arts,Latin America / Caribbean / Uruguay,Latin America,Uruguay,Latin America,Uruguay,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0189,National Museum-Institute of Architecture,Eastern Europe / Caucasus / Armenia,Eastern Europe,Armenia,Eastern Europe,Armenia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0224,National Police Museum,Africa / Egypt,Africa,Egypt,Africa,Egypt,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0914,Natural History Museum of Jamaica,Latin America / Caribbean / Jamaica,Latin America,Jamaica,Latin America,Jamaica,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0617,Natural History Museum of Zimbabwe,Africa / Zimbabwe,Africa,Zimbabwe,Africa,Zimbabwe,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0445,Naum Knop Foundation,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0160,Nazarbayev University Library,Central Asia / Kazakhstan,Central Asia,Kazakhstan,Central Asia,Kazakhstan,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0185,Nepal National Library,South Asia / Nepal,South Asia,Nepal,South Asia,Nepal,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0359,Niasviž District Historico-Homeland Museum,Eastern Europe / Caucasus / Belarus,Eastern Europe,Belarus,Eastern Europe,Belarus,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0369,Nunya Library,Africa / Ghana,Africa,Ghana,Africa,Ghana,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0207,Olduvai Gorge Museum,Africa / Tanzania,Africa,Tanzania,Africa,Tanzania,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0420,Oman Open data portal,MENA / Oman,MENA,Oman,MENA,Oman,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0063,Open Data Cambodia,Southeast Asia / Cambodia,Southeast Asia,Cambodia,Southeast Asia,Cambodia,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0192,Open Data Nepal,South Asia / Nepal,South Asia,Nepal,South Asia,Nepal,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0336,Orientalist Museum,MENA / Qatar,MENA,Qatar,MENA,Qatar,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0978,Origami Museum,Latin America / Caribbean / Uruguay,Latin America,Uruguay,Latin America,Uruguay,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0447,Otamendi Belgrano Palace,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0242,Out Of The Circle,Africa / Egypt,Africa,Egypt,Africa,Egypt,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0374,Palace of Culture of the Minsk Tractor Works,Eastern Europe / Caucasus / Belarus,Eastern Europe,Belarus,Eastern Europe,Belarus,unchanged,summary geography already matches capture record source_place_text
NMSS2026R0448,Palais de Glace,Latin America / Caribbean / Argentina,Latin America,Argentina,Latin America,Argentina,unchanged,summary geography already matches capture record source_place_text
